,precision,recall,f1-score,support
no_entry,0.9679144385026738,0.9679144385026738,0.9679144385026738,187.0
speed_limit,1.0,1.0,1.0,309.0
stop,0.9625,0.9625,0.9625,160.0
accuracy,0.9817073170731707,0.9817073170731707,0.9817073170731707,0.9817073170731707
macro avg,0.9768048128342245,0.9768048128342245,0.9768048128342245,656.0
weighted avg,0.9817073170731707,0.9817073170731707,0.9817073170731707,656.0
