,precision,recall,f1-score,support
no_entry,0.9672131147540983,0.946524064171123,0.9567567567567568,187.0
speed_limit,0.9839228295819936,0.9902912621359223,0.9870967741935484,309.0
stop,0.9444444444444444,0.95625,0.9503105590062112,160.0
accuracy,0.9695121951219512,0.9695121951219512,0.9695121951219512,0.9695121951219512
macro avg,0.9651934629268455,0.9643551087690151,0.9647213633188388,656.0
weighted avg,0.9695306675472005,0.9695121951219512,0.9694757716163319,656.0
