,precision,recall,f1-score,support
no_entry,0.551094890510949,0.8074866310160428,0.6550976138828634,187.0
speed_limit,0.9109311740890689,0.7281553398058253,0.8093525179856115,309.0
stop,0.7777777777777778,0.65625,0.711864406779661,160.0
accuracy,0.7332317073170732,0.7332317073170732,0.7332317073170732,0.7332317073170732
macro avg,0.7466012807925986,0.7306306569406228,0.7254381795493786,656.0
weighted avg,0.775879453907796,0.7332317073170732,0.7416028764304804,656.0
